,Dataset,alpha,acc,qwk,precision_0,recall_0,fbeta_score_0,precision_1,recall_1,fbeta_score_1,precision_2,recall_2,fbeta_score_2,precision_3,recall_3,fbeta_score_3,precision_4,recall_4,fbeta_score_4
NCR_SMT-1,NCR_SMT,1,0.7779764565638504,0.9177440656883603,0.5031525851197982,0.7900990099009901,0.6147919876733435,0.7044776119402985,0.5784313725490197,0.6352624495289368,0.33413461538461536,0.31376975169300225,0.3236321303841676,0.2939189189189189,0.17647058823529413,0.220532319391635,0.9254939300166627,0.9609490855165596,0.9428883230265552
NCR_SMT-0.9,NCR_SMT,0.9,0.7705260020861272,0.9127026754612648,0.4639397201291712,0.8534653465346534,0.601115760111576,0.6780185758513931,0.5367647058823529,0.5991792065663474,0.32792207792207795,0.22799097065462753,0.2689747003994674,0.297029702970297,0.12170385395537525,0.17266187050359713,0.9114571229374855,0.9693524468610973,0.9395137142172716
TL_SMT-0.4,TL_SMT,0.4,0.7560721203993443,0.8967445677811,0.40613718411552346,0.8910891089108911,0.5579665220086795,0.6439306358381502,0.4550653594771242,0.5332695069411202,0.31390134529147984,0.1580135440180587,0.21021021021021022,0.3333333333333333,0.012170385395537525,0.023483365949119372,0.8874805425839448,0.986406327236777,0.9343322018026453
TL_SMT-0.8,TL_SMT,0.8,0.7700789748174639,0.9120285961587371,0.46153846153846156,0.8554455445544554,0.5995836224843859,0.6739356178608515,0.5302287581699346,0.593507087334248,0.3300653594771242,0.22799097065462753,0.2696929238985314,0.29239766081871343,0.10141987829614604,0.1506024096385542,0.9079584775086506,0.9728126544735541,0.9392673905261902
TL-0.5,TL,0.5,0.7700789748174639,0.8770022456270806,0.0,0.0,0.0,0.5448989186647861,0.9468954248366013,0.6917338108027454,0.0,0.0,0.0,0.0,0.0,0.0,0.8745636998254799,0.99085516559565,0.9290845886442641
NCR_SMT-0.4,NCR_SMT,0.4,0.7565191476680078,0.8966148847357869,0.4107468123861566,0.8930693069306931,0.562694946974423,0.642939150401837,0.45751633986928103,0.5346062052505967,0.31555555555555553,0.16027088036117382,0.2125748502994012,0.0,0.0,0.0,0.884436572946646,0.9873949579831933,0.9330841994628051
SMT-0.5,SMT,0.5,0.7609894203546417,0.9027323730504286,0.42016806722689076,0.8910891089108911,0.5710659898477157,0.6591166477916195,0.47549019607843135,0.5524442335073564,0.32217573221757323,0.17381489841986456,0.22580645161290322,0.27835051546391754,0.05476673427991886,0.09152542372881356,0.8982130739651663,0.981463173504696,0.9379945671430259
RUS-0,RUS,0,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
RUS-0.9,RUS,0.9,0.7840858292355833,0.8966084088933607,0.8207547169811321,0.17227722772277226,0.2847790507364975,0.5749872902897813,0.9240196078431373,0.7088686931996239,0.36633663366336633,0.0835214446952596,0.1360294117647059,0.3185840707964602,0.07302231237322515,0.1188118811881188,0.8976039783001808,0.981463173504696,0.9376623376623376
TL-0.7,TL,0.7,0.7709730293547906,0.8800195245554625,0.0,0.0,0.0,0.5414928140936486,0.954248366013072,0.6909198461993494,0.0,0.0,0.0,0.0,0.0,0.0,0.8796662274923145,0.9901136925358379,0.9316279069767442
NCR_SMT-0.2,NCR_SMT,0.2,0.7489196841007302,0.8782465029243475,0.4010647737355812,0.8950495049504951,0.553921568627451,0.6573170731707317,0.440359477124183,0.5273972602739725,0.0,0.0,0.0,0.0,0.0,0.0,0.8469773299748111,0.9972812654473554,0.9160045402951192
OG-0,OG,0,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
CNN-0.8,CNN,0.8,0.7691849202801371,0.9076707689016892,0.7018072289156626,0.4613861386138614,0.5567502986857825,0.6189917936694022,0.8627450980392157,0.7208191126279865,0.3403141361256545,0.14672686230248308,0.2050473186119874,0.2381786339754816,0.27586206896551724,0.2556390977443609,0.9388903093837894,0.907563025210084,0.9229609149176825
TL_SMT-1,TL_SMT,1,0.7778274474742959,0.9172042118542545,0.5006289308176101,0.7881188118811882,0.6123076923076923,0.704,0.5751633986928104,0.6330935251798561,0.3357142857142857,0.3182844243792325,0.32676709154113553,0.29454545454545455,0.1643002028397566,0.21093750000000003,0.9230040274816395,0.962926347009392,0.9425426394097013
RUS-0.7,RUS,0.7,0.771420056623454,0.8827817488572229,0.0,0.0,0.0,0.5416666666666666,0.9558823529411765,0.6914893617021276,0.4,0.004514672686230248,0.008928571428571428,0.2727272727272727,0.012170385395537525,0.02330097087378641,0.8839522546419099,0.9883835887296095,0.9332555425904318
TL_SMT-0.9,TL_SMT,0.9,0.7718670838921174,0.912845424919039,0.4658721560130011,0.8514851485148515,0.6022408963585434,0.6817248459958932,0.5424836601307189,0.6041856232939035,0.3300970873786408,0.23024830699774265,0.2712765957446809,0.305,0.12373225152129817,0.17604617604617603,0.9112659698025551,0.9695996045477014,0.9395282002155431
CNN-0,CNN,0,0.5718968857100283,0.8009388472012409,0.8333333333333334,0.009900990099009901,0.019569471624266147,0.4899466557242511,0.9754901960784313,0.6522807975962851,0.35,0.01580135440180587,0.03023758099352052,0.1272929405225125,0.4645030425963489,0.19982547993019198,0.9812168231931401,0.5939199209095403,0.7399538106235565
TL_SMT-0.2,TL_SMT,0.2,0.7486216659216213,0.8764482501154601,0.40160284951024044,0.8930693069306931,0.5540540540540541,0.6670807453416149,0.4387254901960784,0.5293247905372105,0.0,0.0,0.0,0.0,0.0,0.0,0.8438218691197993,0.9975284231339595,0.9142598255748103
TL-0.4,TL,0.4,0.7688869021010282,0.8716093434558536,0.0,0.0,0.0,0.5637450199203188,0.9248366013071896,0.7004950495049505,0.0,0.0,0.0,0.0,0.0,0.0,0.8564745906867957,0.995551161641127,0.9207909475368613
CNN-0.4,CNN,0.4,0.761436447623305,0.9057773703061551,0.7047619047619048,0.4396039603960396,0.5414634146341464,0.6137413394919169,0.8684640522875817,0.7192151556156969,0.32065217391304346,0.13318284424379231,0.18819776714513556,0.22698412698412698,0.29006085192697767,0.2546749777382012,0.941038961038961,0.8954522985664854,0.9176798378926039
SMT-0.4,SMT,0.4,0.7592013112799881,0.8970095654213203,0.41535615171137835,0.8891089108910891,0.5662042875157629,0.6497747747747747,0.4714052287581699,0.5464015151515151,0.3185840707964602,0.16252821670428894,0.21524663677130046,0.2857142857142857,0.004056795131845842,0.007999999999999998,0.8860057662452872,0.9873949579831933,0.9339567504383401
OG-0.6,OG,0.6,0.7699299657279094,0.8768048825594494,0.0,0.0,0.0,0.5443870361672146,0.9468954248366013,0.6913212048911421,0.0,0.0,0.0,0.0,0.0,0.0,0.8747271933653427,0.990608007909046,0.9290681502086232
CNN-0.7,CNN,0.7,0.7687378930114737,0.9075968516283308,0.7042682926829268,0.45742574257425744,0.5546218487394958,0.6189362945645821,0.8651960784313726,0.7216354344122657,0.34210526315789475,0.14672686230248308,0.20537124802527648,0.2361111111111111,0.27586206896551724,0.25444340505144997,0.9390681003584229,0.9065743944636678,0.9225352112676057
SMT-0.7,SMT,0.7,0.7705260020861272,0.9106123879267046,0.45771670190274844,0.8574257425742574,0.596829772570641,0.6732984293193718,0.5253267973856209,0.5901789811840293,0.33,0.2234762979683973,0.26648721399730824,0.30158730158730157,0.07707910750507099,0.12277867528271405,0.9028284671532847,0.9782501235788433,0.9390272835112693
TL-0.8,TL,0.8,0.7717180748025629,0.8860166020808371,0.0,0.0,0.0,0.5472589792060492,0.946078431372549,0.6934131736526946,0.3333333333333333,0.03611738148984198,0.06517311608961303,0.28846153846153844,0.030425963488843813,0.05504587155963303,0.8876529477196885,0.986159169550173,0.9343168247277837
RUS_SMT-0.7,RUS_SMT,0.7,0.7696319475488005,0.9125626254170841,0.4576271186440678,0.8554455445544554,0.5962732919254659,0.6736401673640168,0.5261437908496732,0.5908256880733945,0.33762057877813506,0.23702031602708803,0.27851458885941643,0.3005181347150259,0.11764705882352941,0.16909620991253646,0.9115393545391224,0.9703410776075136,0.9400215491440201
OG-0.2,OG,0.2,0.7636715839666219,0.8558399643912378,0.0,0.0,0.0,0.5928767123287672,0.8839869281045751,0.709740898655297,0.0,0.0,0.0,0.0,0.0,0.0,0.8274662300450266,0.9992585269401878,0.9052843708016121
TL-0.6,TL,0.6,0.7705260020861272,0.8781833438567477,0.0,0.0,0.0,0.5452414439756212,0.9501633986928104,0.6928805481084301,0.0,0.0,0.0,0.0,0.0,0.0,0.8754914809960681,0.990608007909046,0.9294990723562152
CNN-0.2,CNN,0.2,0.7347638205930562,0.8986719770307825,0.7243816254416962,0.40594059405940597,0.5203045685279187,0.6077658975801913,0.8823529411764706,0.7197600799733422,0.3236994219653179,0.12641083521444696,0.18181818181818182,0.18654073199527746,0.3204868154158215,0.23582089552238805,0.9451941613880473,0.8482451804251112,0.8940992575224698
RUS-0.1,RUS,0.1,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
OG-0.4,OG,0.4,0.7705260020861272,0.8774299210084839,0.0,0.0,0.0,0.5538461538461539,0.9411764705882353,0.6973365617433415,0.0,0.0,0.0,0.0,0.0,0.0,0.867847117253293,0.9933267424616905,0.9263570358418808
TL-0,TL,0,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
RUS_SMT-0.4,RUS_SMT,0.4,0.7653106839517211,0.9046761946267247,0.42843419788664744,0.8831683168316832,0.5769728331177232,0.6823266219239373,0.49836601307189543,0.5760151085930122,0.3418181818181818,0.21218961625282168,0.26183844011142066,0.2661290322580645,0.06693711967545639,0.10696920583468394,0.9031299977153301,0.977014335145823,0.9386204440223198
RUS_SMT-0.9,RUS_SMT,0.9,0.7721651020712264,0.9142630284149195,0.46892039258451473,0.8514851485148515,0.6047819971870604,0.6840490797546013,0.5465686274509803,0.6076294277929154,0.33544303797468356,0.23927765237020315,0.2793148880105402,0.2923728813559322,0.13995943204868155,0.18930041152263374,0.9165103189493433,0.9658922392486406,0.9405535499398315
TL_SMT-0.5,TL_SMT,0.5,0.7581582476531068,0.9025538921785582,0.4139834406623735,0.8910891089108911,0.5653266331658291,0.6535341830822712,0.46078431372549017,0.5404887398179206,0.3092369477911647,0.17381489841986456,0.22254335260115604,0.29545454545454547,0.05273833671399594,0.08950086058519795,0.8976039783001808,0.981463173504696,0.9376623376623376
TL-0.1,TL,0.1,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
OG-0.5,OG,0.5,0.7705260020861272,0.8778408834537534,0.0,0.0,0.0,0.5463966085727744,0.9477124183006536,0.693158051986854,0.0,0.0,0.0,0.0,0.0,0.0,0.8742371403661726,0.9913494809688581,0.9291174426685197
NCR_SMT-0.6,NCR_SMT,0.6,0.7733571747876621,0.9108394104494391,0.4708994708994709,0.8811881188118812,0.6137931034482759,0.6757607555089192,0.5261437908496732,0.5916398713826367,0.34098360655737703,0.23476297968397292,0.2780748663101604,0.3225806451612903,0.060851926977687626,0.10238907849829351,0.8985277463193658,0.9804745427582798,0.9377142181775204
NCR-0.7,NCR,0.7,0.7709730293547906,0.8800668678727218,0.0,0.0,0.0,0.5414160111059695,0.9558823529411765,0.691285081240768,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.9896193771626297,0.9315960912052117
OG-0.8,OG,0.8,0.7721651020712264,0.8861624097744946,1.0,0.0019801980198019802,0.003952569169960474,0.5490753911806543,0.946078431372549,0.6948694869486949,0.36,0.040632054176072234,0.07302231237322515,0.28,0.028397565922920892,0.05156537753222837,0.8866918462563874,0.986406327236777,0.9338949338949338
